Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
BASIC5_SST,This is one of the disadvantages of inter-ethnic marriage.,difference in transport,difference in culture,lack of love,racial unity,B,1
BASIC5_SST,A man who is not married is called ____________,windower,bachelor,bstard,spinster,B,2
BASIC5_SST,Your mother's sister is your ____________,grand mother,great grand mother,aunt,mother,C,3
BASIC5_SST,This is not one of the social services ____________,electricity,hospital,water,patriotism,D,4
BASIC5_SST,The son to my sister is my ____________,brother,aunt,uncle,nephew,D,5
BASIC5_SST,All the following except ____________ are produced in Nigeria.,hides and skins,cocoa,cotton,barley,D,6
BASIC5_SST,Which of the following does not belong to this group?,priest,doctor,imam,pastor,B,7
BASIC5_SST,Tin is a mineral mined in ____________,Jos,Ewekoro,Ibadan,Enugu,A,8
BASIC5_SST,International conflicts exist between ____________,town,villages,countries,words,C,9
BASIC5_SST,Limestone is used for manufacturing cement and ____________,asbestos,soft drinks,shoes,wine,A,10
BASIC5_SST,What is culture?,how people live together,the people's way of life,where people play games,how people live and eat,B,11
BASIC5_SST,____________ is an example of a natural resource.,hospital,tap water,electricity,land,D,12
BASIC5_SST,There are ____________ organs of government in Nigeria.,1,2,3,5,C,13
BASIC5_SST,The present Governor in Ekiti state is ____________,H.E Biodun Abayomi Oyebanji,H.E Bola Ahmed Tinubu,H.E Ayodele Fayose,H.E Kayode Fayemi,A,14
BASIC5_SST,The lowest tier of government in Nigeria is ____________,state government,modern government,federal government,local government,D,15
BASIC5_SST,Ekiti state was created on ____________ 1996,1st October,1st August,1st April,1st June,B,16
BASIC5_SST,The place of worship for Christians is ____________,school,mosque,market,church,D,17
BASIC5_SST,A good and loyal citizen would ____________,be honest and faithful,be dishonest,always oppose leaders,refuse tax,A,18
BASIC5_SST,The Ekiti State commissioner for education is?,Prof. Femi Aderiye,Tahir Mamoh,Dr. Mrs Modupe Adelabu,Dr. Mrs Olabimpe Aderiye,D,19
BASIC5_SST,An example of a simple machine is ____________,razor blade,car,sewing machine,computer,A,20
BASIC5_SST,Limestone is used in the manufacture of ____________,gold,plate,flour,cement,D,21
BASIC5_SST,The method of knowing number of people in a country is ____________,taxes,counting,census,population,C,22
BASIC5_SST,Southern and Northern Nigeria were amalgamated in ____________,1915,1960,1914,1963,C,23
BASIC5_SST,Drugs taken without recommendation are called drug ____________,addict,dealer,abuse,habit,C,24
BASIC5_SST,Speaker of Ekiti State House of Assembly?,Rt Adetunji Paul Orisalade,Hon. Adeoye Stephen Aribasoye,Hon. Adewale Richard Omirin,Rt. Hon Tunji Bernard Odeyemi,B,25
BASIC5_SST,Someone in control of a group is called ____________,maker,leader,police,husband,B,26
BASIC5_SST,One cause of international conflict is ____________,water,cloth,friend,boundary,D,27
BASIC5_SST,____________ can be found in Ondo State.,coal,bitumen,gold,iron,B,28
BASIC5_SST,We receive formal education in the ____________,street,house,school,church,C,29
BASIC5_SST,Coal is found in ____________,Enugu,Lagos,Ekiti,Ibadan,A,30
BASIC5_SST,Muslims reach God through prophet ____________,Yisa,Mohammed,Ibrahim,Yaya,B,31
BASIC5_SST,Which of these is a Christian festival?,FESTAC,Igemo,Eldel-Kabir,Christmas,D,32
BASIC5_SST,Who was the head of state when Ekiti State was created?,Dr Nnamdi Azikwe,Alhaji Shehu Shagari,Chief Obafemi Awolowo,Gen Sanni Abacha,D,33
BASIC5_SST,Transportation is movement of goods from one place to ____________,another,hill,land,church,A,34
BASIC5_SST,The cheapest means of transportation is ____________,road,air,sea,rail,A,35
BASIC5_SST,Which of the following is not a natural disaster?,Drought,Earthquake,famine,riot,D,36
BASIC5_SST,Which of these is not a means of olden-day communication?,drumming,letter writing,smoking,sending an errand,C,37
BASIC5_SST,Where two rivers meet is called ____________,delta,joint,confluence,junction,C,38
BASIC5_SST,Which of the following is not an element of culture?,food,language,music,sleep,D,39
BASIC5_SST,Petroleum is refined in a ____________,reformatory,depot,refinery,drill,C,40
BASIC5_SST,____________ is used to make roofing sheets.,gold,aluminium,stone,columbine,B,41
BASIC5_SST,Which of the following does not lead to marriage failure?,childlessness,faithfulness,bad advice,quarrels,B,42
BASIC5_SST,All religions in Nigeria worship the same ____________,way,God,time,book,B,43
BASIC5_SST,Hunters and blacksmiths in Yoruba land worship the god of ____________,iron,thunder,river,obatala,A,44
BASIC5_SST,Which is not a cause of unemployment?,lack of jobs,poor economy,lack of education,bad leadership,D,45
BASIC5_SST,Gender discrimination occurs mostly in the area of ____________,food,shelter,culture,education,D,46
BASIC5_SST,Who is the chairman of SUBEB?,Prof. Femi Akinwunmi,Tahir Mamoh,Dr Modupe Adelabu,Prof. Femi Aderiye,A,47
BASIC5_SST,Who introduced free education in Western Nigeria in 1955?,Awolowo,Nnamdi Azikiwe,Tinubu,Fayemi,A,48
BASIC5_SST,First indigenous Governor-General in Nigeria?,Dr Nnamdi Azikiwe,Alhaji Shehu Shagari,Chief Obafemi Awolowo,Chief Earnest Shonekan,A,49
BASIC5_SST,First executive President in Nigeria?,Dr Nnamdi Azikiwe,Alhaji Shehu Shagari,Chief Obafemi Awolowo,Chief Earnest Shonekan,B,50
