Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
BASIC5_YOR,"[PASSAGE] Ka ayoka yii ki osi dahun ibeere tio tele e
Gbogbo igbesi aye Herbert Macaulay ni o fi sakitiyan lati gba ominira fun orile ede wa lati owo awon Oyinbo Geesi. Oun ni o koko da egbe oselu sile ni orile ede Naijiria. Oruko egbe naa ni Nigeria National Democracy party. Odun 1923 ni o da sile . Dokita Azikwe ni akowe egbe naa. Ni odun 1944 ni o da baba egbe naa, awon oyinbo geesi ko feran re nigba aye re nitiri o maa n tako awon Oyinbo amunisin omo geesi ti won je alakoso ti wa. Oun ni je oselu akoko ni ile Naijiria. O si je baba fun orile-ede yii",,,,,,
BASIC5_YOR,"[HEADER] Ibeere (1 - 5)",,,,,,
BASIC5_YOR,"Sakitiyan ninu iatn yii tumo si","rerin","sare","gbiyanju","sokun","B","1"
BASIC5_YOR,"“Oun” ninu ayoka yii tumo si","Herbert Macaulay","Oyinbo","Dokita","Azikwe","A","2"
BASIC5_YOR,"Odun ____________ ni a da egbe N.N.D.P sile","1923","1932","1944","1984","A","3"
BASIC5_YOR,"____________ ni akowe egbe naa","Herbert Macaulay","Oyinbo","Geesi","Dokita Azikwe","C","4"
BASIC5_YOR,"____________ ni o je oselu akoko ni Naijiria","Herbert Macaulay","Oyinbo","Geesi","Dokita Azikwe","D","5"
BASIC5_YOR,"[HEADER] Pari awon gbolohun wonyii pelu afiwe ti o ye (6 - 10)",,,,,,
BASIC5_YOR,"Baba naa le mu emu bii ____________","oyin","itun","ehoro","etu","B","6"
BASIC5_YOR,"Omo naa nwo bi ____________","eta","ehoro","ori eran","itun","C","7"
BASIC5_YOR,"Ogbon bi ____________","opele","ekun","oka","ifa","C","8"
BASIC5_YOR,"Oju e pon bii oju ____________","ewure","ehoro","ede","eja","D","9"
BASIC5_YOR,"O san ra bi ____________","maalu","oya","oku eja","oku elede","D","10"
BASIC5_YOR,"[HEADER] Isori wo ni awon oro ti a fa ila si nidi wonyii (11 - 15)",,,,,,
BASIC5_YOR,"Tolu **je** iyan lana","oro oruko","oro aponle","oro ise","oro iyanu","C","11"
BASIC5_YOR,"**Ode** pa okete","oro oruko","oro aponle","oro apejuwe","oro iyanu","A","12"
BASIC5_YOR,"Aso naa funfun **balau**","oro oruko","oro aponle","oro apejuwe","oro iyanu","B","13"
BASIC5_YOR,"Iya **kukuru** joko sori aga","oro oruko","oro aponle","oro apejuwe","oro iyanu","C","14"
BASIC5_YOR,"Sango oo !!","oro oruko","oro aponle","oro apejuwe","oro iyanu","D","15"
BASIC5_YOR,"[HEADER] Pari owe wonyii (16 - 20)",,,,,,
BASIC5_YOR,"Omo ina la ran si ____________","iya re","ina","ile re","omi","B","16"
BASIC5_YOR,"A ki n fi gbese sorun ____________","sore","se eso","ayeye","alejo","B","17"
BASIC5_YOR,"Oro buburi ni yo ____________ lapo","obi","owo","ida","osan","C","18"
BASIC5_YOR,"Igba ara la maa n bu ____________","agbalagba","onija","ara","oluko","C","19"
BASIC5_YOR,"Ole lo maa n mo ese ole to ni ori ____________","apata","ile","omi","igi","A","20"
BASIC5_YOR,"[HEADER] Awon wo ni Yoruba ki bayii (21 - 25)",,,,,,
BASIC5_YOR,"Ade pa owo a de","oloja","ahunso","apeja","alaro","C","21"
BASIC5_YOR,"Babalawo","arokobodunde","aboruboye","Ahunso","Aroye o","B","22"
BASIC5_YOR,"Agbe","arokobodunde","aboruboye","Ahunso","Aroye o","A","23"
BASIC5_YOR,"Alagbede","arokobodunde","aboruboye","Ahunso","Aroye o","D","24"
BASIC5_YOR,"Ahunya o","arokobodunde","aboruboye","Ahunso","Aroye o","C","25"
BASIC5_YOR,"[HEADER] Kini oruko ti a n pea won ojo ati osu wonyii (26 - 30)",,,,,,
BASIC5_YOR,"June","Igbe","Okudu","Agemo","Owawa","B","26"
BASIC5_YOR,"November","Igbe","Belu","Agemo","Owawa","B","27"
BASIC5_YOR,"March","Erena","Erele","Agemo","Owawa","A","28"
BASIC5_YOR,"Wednesday","ojoru","Ojobo","eti","isegun","A","29"
BASIC5_YOR,"Friday","ojoru","Ojobo","eti","isegun","A","30"
BASIC5_YOR,"[HEADER] Ko onka wonyii ni ede Yoruba (31 - 35)",,,,,,
BASIC5_YOR,"Aadorin ____________","70","80","40","90","A","31"
BASIC5_YOR,"Irinwo ____________","300","400","600","500","B","32"
BASIC5_YOR,"Eedegbeta ____________","300","400","600","500","D","33"
BASIC5_YOR,"Eetadinlogoji ____________","37","43","47","53","A","34"
