Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
JSS3_CIVIC,"In democracy, lack of press freedom leads to the denial of freedom of ____________","Association","Expression","Expression","Movement","B","1"
JSS3_CIVIC,"Franchise means the right to ____________","Contest for political post","Join association","Vote and be voted for","Vote and win election","C","2"
JSS3_CIVIC,"One of the civic responsibilities of a citizen is to obey ____________","Constituted authority","Bye-laws","Edicts","Law books","A","3"
JSS3_CIVIC,"The formation and implementation of policies are the major duties of the ____________","Executive","Judiciary","Legislature","Police","A","4"
JSS3_CIVIC,"Law making is the primary function of ____________","The federal government","The legislature","The judges","The executive","B","5"
JSS3_CIVIC,"A political system in which citizens rule through their representatives chosen in periodic election is called ____________","Representative Democracy","Democracy","Capitalist democracy","Political representation","A","6"
JSS3_CIVIC,"The most popular definition of democracy was given by ____________","Martin Luther King","Abraham Lincoln","Kwame Nkrumah","Nelson Mandela","B","7"
JSS3_CIVIC,"Democracy originated from ____________","U.S.A","Britain","Germany","Greece","D","8"
JSS3_CIVIC,"All these are features of democracy except ____________","Rule of law","Fundamental human rights","fusion of power","Periodic election","C","9"
JSS3_CIVIC,"A rule of law can be strengthened through ____________","Independence of the judiciary","High cost of litigation","Prolonged prosecution of offenders","Immunity clause in the constitution","A","10"
JSS3_CIVIC,"Rule of law means ____________","Supremacy of the law","Absence of legal immunity","Peace, order and stability","Obedience to law","A","11"
JSS3_CIVIC,"Human rights are basic natural rights which people enjoy primarily because they are ____________","Members of a political party","International citizens","Members of a community","Human beings","D","12"
JSS3_CIVIC,"Democratic governance is usually characterised with ____________","Free, fair and credible elections","Buoyant and competitive economy","Accessible employment opportunities","Youth participation in governance","A","13"
JSS3_CIVIC,"The 2019 Presidential Election was held on ____________","February 16th","February 23rd","March 2nd","March 9th","B","14"
JSS3_CIVIC,"The total number of registered political parties in Nigeria is ____________","90","91","92","93","B","15"
JSS3_CIVIC,"Citizens can be deprived of their rights during ____________","Public holidays","Political campaign","Emergency rule","Democratic regime","C","16"
JSS3_CIVIC,"Human rights abuse can be prevented through the following except ____________","Constitutional means","Protest","Court of law","Mass media","B","17"
JSS3_CIVIC,"Democracy can promote national development if there is ____________","Good governance","Promotion of culture","Immunity for leaders","Registration of parties","A","18"
JSS3_CIVIC,"Nationalism ensures the following except ____________","National consciousness","Secession in a country","National integration","Unity in a country","B","19"
