Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
JSS3_ENG,"[PASSAGE] PASSAGE 1
Read the following passage carefully and answer the questions that follow by choosing the most appropriate of the options lettered A-E

There was once a terrible famine in the land of the animals. Food and money were scarce. Hunger made all the creatures very weak. The mother of Dino, the tortoise, fell ill and was at the point of death. Dinso became very worried because he had no money for her funeral ceremonies. He thought and thought but did not know what to do.

At last, he discovered a trick. He assembled all the animals and said to them, 'I am going to a distant land in search of food for all of us who are hungry, do not send for me unless something unusual happens.' The animals agreed.

Three days later, Dinso's mother died. Death is not unusual and Dinso could not be sent for. Discovering the trick, the elephant advised, 'Let's tell Dinso that the palm tree bears fruits at the end of its leaves. This unusual and should make him return quickly.'

The other animals welcomed the idea, thanked the elephant for the good advice and sent for Dinso. On hearing of palm trees bearing fruits at the end of the leaves, he hastened back. When he arrived, the animals said to him, 'Your mother is dead; now arrange for her funeral according to our custom. You can't deceive all the people all the time.'",,,,,,
JSS3_ENG,By giving the advice he gave, there is no doubt that the elephant was a ____________ animal.,cunning,great,smart,thoughtful,E,1
JSS3_ENG,The passage is mainly ____________ in form.,Argumentative,descriptive,expository,narrative,D,2
JSS3_ENG,A word that can replace 'assembled' as it is used in the passage is ____________,arranged,combined,gathered,grouped,C,3
JSS3_ENG,Which of the following statements is true according to the passage?,Dinso knew his mother would not die soon,Dinso was never confused,Hunger made Dinso's mother fall ill,The famine did not affect some animals,C,4
JSS3_ENG,The most suitable title for the passage could be ____________,Dinso the Elephant,Dinso's Mother's Death,Dinso's Trick,,C,5
JSS3_ENG,"[PASSAGE] PASSAGE II
Until the latter half of the nineteenth century, the Europeans knew little about the interior of Africa by then, much had been learnt about America, Asia and Australia. Because the Europeans knew little about Africa then, this was the chief reason why Stanley, the British explorer, called Africa 'The Dark Continent'.

Stanley explored the Congo Basin. The Stanley Falls on this river is called after his name. Most of the inhabitants of Africa are black in complexion and perhaps this was the second reason the words Dark-Continent were applied to Africa.

One may ask why the inland part of Africa was unknown until about one hundred years ago. Many are of the opinion that this was because the natives of Africa were not friendly towards Europeans. Until then, Arab slave raiders had been enslaving Africans. This made many Negroes look upon all white people as slave dealers.

But we must not forget the difficulties in exploring Africa. The Sahara Desert, the rapids on rivers and the thick forest made travelling very difficult. The damp, heat, mosquitoes and tse-tse flies caused illness to European explorers.",,,,,,
JSS3_ENG,What many people think was the reason why Africa was unknown for a long time?,Arab slave raiders were wicked,Arabs enslaved Africans,Explorers were busy elsewhere,Natives were unfriendly,D,6
JSS3_ENG,The ____________ was explored by Stanley,African coast,Congo Basin,Forested part of Africa,Interior of Africa,B,7
JSS3_ENG,What caused ill-health to European explorers?,Snake bites and malaria,The climate and insects,Dangerous rivers and deserts,Rapids on rivers,B,8
JSS3_ENG,Who called Africa the Dark Continent?,Europeans,Explorers,Stanley,Americans,C,9
JSS3_ENG,A word that can replace 'natives' as used in the passage is ____________,indigenes,leaders,traders,visitors,A,10
JSS3_ENG,[HEADER] Complete each of the following questions with the most appropriate of the options lettered A-E,,,,,,
JSS3_ENG,Don't argue with your mother, it is a sign of ____________,disrespect,irrespect,misrespect,non respect,A,11
JSS3_ENG,Crude oil is sold to other countries in containers called ____________,barrels,bottles,drums,jars,A,12
JSS3_ENG,The warder denied seeing the ____________ of the prison before they escaped.,contingents,inmates,partners,people,B,13
