Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
JSS3_HIST,Herodotus the father of history was a/an ____________ historian,European,Portuguese,London,Greek,D,1
JSS3_HIST,Stories serve as ____________ to listeners and readers,entertainment,chaos,fatigue,bore,A,2
JSS3_HIST,____________ & ____________ are notable cultural festivals in Nigeria,Osun festival and Agungun fishing festival,Hip hop music and Orlat dance,Jackson song and pop,Toronto and foreign music,A,3
JSS3_HIST,The annulment of June 12 election took place in,1991,1992,1993,1994,C,4
JSS3_HIST,Pre-colonial period in Nigeria means,Before the Independence,Before the arrival of the white men,After the arrival of the white men,After Independence,B,5
JSS3_HIST,Nigeria is a ____________ nation,Multi linguistics,Mono linguistics,Tribalistic,Special,A,6
JSS3_HIST,Oyo empire was founded by ____________,Oyomesi,Ogboni,The Alaafin,Oranmiyan,D,7
JSS3_HIST,The name Ghana means ____________,War chief,Mande speaking,Black people,Ghanian,A,8
JSS3_HIST,The first amalgamation of Nigeria territories occurred in May __,1806,1906,1914,1920,B,9
JSS3_HIST,Who among these Nigerian nationalists founded the Action group?,Chief Anthony Enahoro,Chief MKO Abiola,Dr Nnamdi Azikiwe,Chief Obafemi Awolowo,D,10
JSS3_HIST,European exploration in Nigeria started in,20th century,15th AD,15th century,1920,C,11
JSS3_HIST,The fall of Ghana empire was brought by these reasons except,extravagance lifestyle of the rulers,natural disasters,opening trade route in the south,succession dispute,B,12
JSS3_HIST,The major export product of Ghana empire was,cotton,gold,ivory,kolanut,B,13
JSS3_HIST,The study of history helps a Nation to develop good citizenship through these methods except,disregarding the culture of the people,participating in elections,payment of taxes,protection of public properties,A,14
JSS3_HIST,Which of the following is not an importance of history to an individual,actualizing self discovery,encouraging loyalty to the state,enhancing ones pride,projecting self respect,C,15
JSS3_HIST,Societies celebrate their heroes and heroines because,of their good deeds,of their wealth,of their high social class,they could not meet them alive,A,16
JSS3_HIST,What is the full meaning of NYSC,National Youth Service Corps,Nigeria Youth Service Corp,Noble Youth Service Commission,Notable Youth Service Commission,A,17
JSS3_HIST,____________ is known as the seal of the president of Federal Republic of Nigeria,Map of Nigeria,National flag,Nigerian coat of arms,The mace,C,18
JSS3_HIST,Legitimate trade is a trade in ____________,human beings,slaves,raw materials,spare part,C,19
JSS3_HIST,Among the European explorers ____________ explored the Northern part of Nigeria,Richard Landers,Clapperton,Mungo Park,Mary Slessor,B,20
JSS3_HIST,The Trans Sahara trade made use of ____________ to cross through the desert,cars,planes,Lorry,Camel Caravan,D,21
JSS3_HIST,In pre-colonial Nigeria ____________ is an example of a centralized state,Oyo empire,Ogun state,Lagos State,Osun state,A,22
JSS3_HIST,Bronze castings were used to show different works of art in Edo and ____________,Daima,Ife,Igbo Ukwu,NOK,B,23
JSS3_HIST,Trans-Saharan trade took place mainly between,North Africa and East Africa,West Africa and North Africa,Western Europe and North Africa,South Africa and North Africa,B,24
