Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_CHEM,"The energy change which accompanies the addition of an electron to an isolated gaseous atom is ____________","Electro affinity","Electronegativity","Bond energy","Ionization energy","A",1
SS2_CHEM,"Which of the following arrangement is in order of increasing metallic property?","Na < Li < K","Li < Na < K","K < Li < Na","K < Na < Li","B",2
SS2_CHEM,"When an element 20A combines with 8Y","a covalent compound, AY is formed","a covalent compound, AY2 is formed","an ionic compound, AY is formed","an ionic compound, A2Y is formed","C",3
SS2_CHEM,"The number of atoms in one molecule of a substance is equal to the ____________","Oxidation number","Atomic number","Mass number","Avogadro’s number","D",4
SS2_CHEM,"What is the value of ‘n’ in the following equation? Cr2O72- + 14H+ + n e- → 2Cr3+ + 7H2O","2","3","7","6","D",5
SS2_CHEM,"What mass of copper would be formed when a current of 10.0A is passed through a solution of CuSO4 for 1 hour? (Cu = 63.5, 1F = 96500C)","5.9g","11.8g","23.7g","47.3g","C",6
SS2_CHEM,"The atomic radii of metals are usually less than their ionic radii","True","False","Equal","Less than non-metals","A",7
SS2_CHEM,"Which of the following elements is a metalloid?","Silicon","Potassium","Sodium","Oxygen","A",8
SS2_CHEM,"Consider the reaction: x CH3OH + y O2 → 2CO2 + z H2O. The value of x, y, and z respectively are","2, 3, 4","2, 4, 3","1, 2, 3","1, 3, 5","A",9
SS2_CHEM,"The valence electrons of the element 12 Mg are in the ____________","1 S Orbital","3 S Orbital","2 Px Orbital","2 Py Orbital","B",10
SS2_CHEM,"What is the function of Sulphur(IV) oxide in the reaction: SO2(g) + 2H2S(g) → 3S(s) + 2H2O(l)","Bleaching agent","Dehydrating agent","Oxidizing agent","Precipitant","C",11
SS2_CHEM,"How many electrons are removed from Cr2+ when it is oxidized to CrO42-?","10","8","2","4","B",12
SS2_CHEM,"Which of the following properties increases down a group in the periodic table?","Electron affinity","Electronegativity","Ionization energy","Atomic radius","D",13
SS2_CHEM,"Given that the electronic configuration of the element X is 1S2 2S2 2P6 3S2 3P4, it can be deduced that X","Belongs to period 4","Contains three unpaired electrons","Belongs to group 6","Has atomic number 27","C",14
SS2_CHEM,"Which of the following pH values indicates that a solution is a strong base?","1.0","5.0","7.5","13.0","D",15
SS2_CHEM,"Substances which absorb moisture from the atmosphere without dissolving in it are said to be","Hygroscopic","Anhydrous","Insoluble","Efflorescent","A",16
SS2_CHEM,"Which of the following atoms contains the highest number of electrons in the outermost shell?","10Ne","8O","15P","19K","C",17
SS2_CHEM,"Calcium atom ionizes by ____________","Sharing two electrons","Gaining two protons","Losing two electrons","Gaining two electrons","C",18
SS2_CHEM,"Elements which belong to the same group in the periodic table are characterized by","Difference of +1 in oxidation numbers","Difference of 14 atomic mass units","Same number of electron shells","Same number of outermost electrons","D",19
SS2_CHEM,"The following are alkali except__","Sodium","Potassium","Lithium","Calcium","D",20
SS2_CHEM,"S-block elements of the periodic table are made up of ____________","Group 1, 2, and 3","Group 1","Group 1 and 2","Group 2 and 3","C",21
SS2_CHEM,"Which of the following arrangement is in order of increasing ionization energy?","Al, Si, P, S","P, Si, S, Al","Si, Al, S, P","S, P, Si, Al","D",22
SS2_CHEM,"Faraday’s first law of electrolysis can be expressed mathematically as ____________","Q = It","Q ∝ It","m","m ∝ It","A",23
SS2_CHEM,"____________ is an instrument for measuring volumes.","beaker","measuring cylinder","test tube","rack","B",24
SS2_CHEM,"Chemistry is concerned with the study of ____________","matter","mood","emotions","force","A",25
SS2_CHEM,"The rusting of iron is a ____________ change.","physical","chemical","biological","sociological","B",26
SS2_CHEM,"____________ is the minimum amount of energy of reactants for a chemical reaction to take place","activation energy","solar energy","heat energy","chemical energy","A",27
SS2_CHEM,"____________ theory states that for a chemical reaction to occur, the reacting particles must collide with one another","kinetic","collision","chemical","activation","B",28
SS2_CHEM,"Which of these methods is not used to determine the rate of reaction?","Change in amount of precipitate","Change in intensity of colour","Change in pH values","Change in total gas pressure","C",29
SS2_CHEM,"Reactions are generally faster at higher temperature because the ____________","activation energy increases","energy of the products is lowered","energy of the reactants decreases","number of effective collisions increases","D",30
