Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_CIVIC,"The ability of parents to provide for the needs of their families is termed","Responsible father","Responsible parenthood","Grandparents","Providing parents","B","1"
SS2_CIVIC,"The duties of parents towards their children start from","Conception","Birth","Adulthood","Adolescent","A","2"
SS2_CIVIC,"It is the primary duty of the father to","Provide for the family","Cook for the children","Take children for excursion","Prepare the children for school","A","3"
SS2_CIVIC,"Whose duty is it to pay the children’s school fees?","Parents","Aunts","Uncle","Nephew","A","4"
SS2_CIVIC,"One of the roles of the mother is","Prepare the children for school","Pay children’s school fees","Pay for house rent","Show leadership","A","5"
SS2_CIVIC,"Which of the following is not a major challenge of good parenthood?","Illiteracy","Education","Unemployment","Poverty","B","6"
SS2_CIVIC,"The primary agent of child’s socialization is","Society","Family","School","Office","B","7"
SS2_CIVIC,"One major factor that can promote good parenthood is","Indifference","Honesty","Employment","Loyalty","C","8"
SS2_CIVIC,"It is the duty of the children to","Spite their parents","Provide for family’s upkeep","Employ their parents","Obey their parents","D","9"
SS2_CIVIC,"Employment will promote the following except","Good image","Responsibility","Indolence","Self-esteem","C","10"
SS2_CIVIC,"When you are walking on the road, you … the oncoming vehicles.","Face","Back","Run to meet","Jump","A","11"
SS2_CIVIC,"If you must walk at night, you are advised to wear","Dark clothes","Bright clothes","Brown clothes","Green clothes","B","12"
SS2_CIVIC,"One of the causes of road accidents is","Well-serviced car","Overloaded buses","Traffic light","Good cars","B","13"
SS2_CIVIC,"When the traffic light turns green this is saying","Stop moving","Start moving","Ready to move","Turn green light on","B","14"
SS2_CIVIC,"Seat belts are meant to be fastened","When you see a LASTMA official","When you get to the expressway","Immediately you start driving","When you sense an accident","C","15"
SS2_CIVIC,"Which of the following is a major cause of road accident?","HIV","Drug abuse","Bumps","Traffic","B","16"
SS2_CIVIC,"Safety on roads is the duty of","Motorists","Police","Traffic wardens","Road users","D","17"
SS2_CIVIC,"FRSC was established in","1963","1988","1973","1999","B","18"
SS2_CIVIC,"The traffic light for 'stop' is","Red","Yellow","Green","Blue","A","19"
SS2_CIVIC,"One of the following will help to avert accidents on the roads.","Overload","High speed","Obedience to traffic regulations","Honesty","C","20"
SS2_CIVIC,"A situation where most citizens fail to vote in elections could be described as political","Socialization","Culture","Apathy","Legitimacy","C","21"
SS2_CIVIC,"Universal Declaration of Human Rights (UDHR) is based on the resolution of the","Human Rights Watch","United Nations Organization","Amnesty International","League of Nations","B","22"
SS2_CIVIC,"The most popular means through which citizens of a country can participate in politics is by","Being members of political parties","Engaging in constructive criticisms","Engaging in political debates","Voting in elections","D","23"
