Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_HOME,"Which of the following is a factor that affects supply of money?","Citizens","Bank rate","Level of education","Level of literacy","B",1
SS2_HOME,"Liquidity preference in the concept of demand for money is the same as ____________","Velocity of money","Supply of money","Desire to hold money in cash","Value of money","C",2
SS2_HOME,"The quantity theory of money was propounded by an American Economist known as ____________","Sir Donald Cameron","Adam Smith","Sir Irving Fisher","David Richardo","C",3
SS2_HOME,"The determinant of the value of money include all the following factors except……..","Price index","General price level","Supply of money","Volume of goods and services produced","A",4
SS2_HOME,"The statistical measure designed to show changes in variable or group of related variables with respect to geographical location or other features such as income, profession, population, etc, is known as……….","A relative price level","An index number","A liquidity ratio","An accelerated principle","B",5
SS2_HOME,"A government treasury bill is a form of debt instrument which falls due for repayment after.","3 months","9 months","2 years","5 years","A",6
SS2_HOME,"Long term loans can be secured from ____________","Commercial banks","Discount houses","Development banks","Acceptance house","C",7
SS2_HOME,"In the money market, money can only be borrowed for ____________","Long term","Short term","Capital projects","Public utilities","B",8
SS2_HOME,"The debt instrument through which loan can be secured for a period up to five years and above ____________","Debenture","Share","Stock","Bond","D",9
SS2_HOME,"Call money funds is a debt instrument being used in ____________","Stock exchange market","Money market","Foreign exchange market","Capital market","B",10
SS2_HOME,"An inflation in which the price level rises steadily at an average rate of about 2% per annum is best described as","Galloping","Induced","Creeping","Suppressed","C",11
SS2_HOME,"Inflation in any economy ____________","Has no monetary connection","Implies a sustained decrease in the general price","Always increase the value of the national currency","Tends to redistribute income","D",12
SS2_HOME,"Which of the following statements is not true in an inflation period.","The purchasing power of money diminishes","Wages rise simultaneously with price","More money runs after a limited quantity of goods","Fixed income earners lose","B",13
SS2_HOME,"Inflation caused by an increase in demand is known as ____________","Cost-push inflation","Hyper-inflation","Demand-pull inflation","Creeping inflation","C",14
SS2_HOME,"One way to solve the economic problem of inflation in a country is by increasing the","Supply of commodities","Supply of currency","Salaries of workers","Demand for commodities","A",15
SS2_HOME,"Which of the following is not an item of capital expenditure","Building of dams","Supply of electricity","Payment of interest on loans","Building of harbours","C",16
SS2_HOME,"Public expenditure on education and health is known as expenditure of","General services","Social services","Commercial services","Economic services","B",17
SS2_HOME,"Which of the following is an item of Recurrent Expenditure","Construction of Highways","Building of Dams","Payment of Salaries and Wages","Building of a new University","C",18
SS2_HOME,"Which of the following items cannot be classified as Essential Government Expenditure","Construction of Roads","Servicing of External Debts","Maintenance of public Hospitals","Importation of Luxury Consumer Goods","D",19
SS2_HOME,"Which policy is used to adjust government revenue and expenditure so as to produce a desirable effect on the economy","Monetary","Business","Physical","Fiscal","D",20
SS2_HOME,"Which of the following cost curve is not U-shaped?","Marginal cost curve","Average fixed cost curve","Average total cost curve","Average variable cost curve","B",21
SS2_HOME,"Frictional unemployment occurs when","There is a change in the techniques of production","Job seekers lack information where job exists","Bad weather prevents workers from progressing","Job seekers have disabilities","B",22
SS2_HOME,"Which of the following will increase the demand for labour?","Increase wage rate","Labour demand for output","Low wage rate","Low marginal productivity","B",23
SS2_HOME,"Location of firms and Industries is not influenced by","Availability of raw materials","Existence of other firms","Nearness to the source of money supply","Government policy","C",24
SS2_HOME,"The profit of a producer is the difference between","Total cost and marginal cost","Total revenue and total cost","Average cost and total cost","Price and total cost","B",25
SS2_HOME,"Cyclical unemployment is the one associated with","Inadequate information","Trade fluctuations","Structural changes","Seasonal changes","B",26
